command	wall_seconds	user_seconds	sys_seconds	max_rss_kb	run
./bin/wise-combine-test --model fixtures/relation.model --mode relation	0.00	0.00	0.00	1588	1
./bin/wise-combine-test --model fixtures/relation.model --mode relation	0.00	0.00	0.00	1608	2
./bin/wise-combine-test --model fixtures/relation.model --mode relation	0.00	0.00	0.00	1704	3
