command	wall_seconds	user_seconds	sys_seconds	max_rss_kb	run
./bin/wise-combine-test --model fixtures/smoke.model --mode state	0.00	0.00	0.00	1740	1
./bin/wise-combine-test --model fixtures/smoke.model --mode state	0.00	0.00	0.00	1716	2
./bin/wise-combine-test --model fixtures/smoke.model --mode state	0.00	0.00	0.00	1704	3
