command	wall_seconds	user_seconds	sys_seconds	max_rss_kb	run
./bin/wise-combine-test --model fixtures/function_relations.model --mode relation	0.00	0.00	0.00	1668	1
./bin/wise-combine-test --model fixtures/function_relations.model --mode relation	0.00	0.00	0.00	1760	2
./bin/wise-combine-test --model fixtures/function_relations.model --mode relation	0.00	0.00	0.00	1588	3
